OBJECTID,SOVEREIGNT,TYPE_,COUNTRY,FIRST_OFFICIAL,SECOND_OFFICIAL,THIRD_OFFICIAL,ENGLISH_FIRST,FRENCH_FIRST,ARABIC_FIRST,SPANISH_FIRST,PORTUGUESE_FIRST,CHINESE_FIRST,RUSSIAN_FIRST,WORLD_LANGUAGES_FIRST
20,Botswana,Sovereign country,Botswana,English, , ,1,0,0,0,0,0,0,English
21,Central African Republic,Sovereign country,Central African Republic,French,Sangho, ,0,1,0,0,0,0,0,French
22,Canada,Sovereign country,Canada,English,French, ,1,1,0,0,0,0,0,English_French
23,Switzerland,Sovereign country,Switzerland,German,French,Italian,0,1,0,0,0,0,0,French
24,Chile,Sovereign country,Chile,Spanish, , ,0,0,0,1,0,0,0,Spanish
25,China,Country,China,Standard Chinese or Mandarin,Regional Chinese, ,0,0,0,0,0,1,0,Chinese
26,Ivory Coast,Sovereign country,Ivory Coast,French, , ,0,1,0,0,0,0,0,French
27,France,Dependency,Clipperton Island,French, , ,0,1,0,0,0,0,0,French
28,Cameroon,Sovereign country,Cameroon,English,French, ,1,1,0,0,0,0,0,English_French
29,Netherlands,Country,Aruba,Dutch, , ,0,0,0,0,0,0,0,Other
30,Afghanistan,Sovereign country,Afghanistan,Persian,Pashto,Dari,0,0,0,0,0,0,0,Other
31,Angola,Sovereign country,Angola,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
32,United Kingdom,Dependency,Anguilla,English, , ,1,0,0,0,0,0,0,English
33,Albania,Sovereign country,Albania,Albanian, , ,0,0,0,0,0,0,0,Other
34,Finland,Country,Aland,Finnish,Swedish, ,0,0,0,0,0,0,0,Other
35,Andorra,Sovereign country,Andorra,Catalan, , ,0,0,0,0,0,0,0,Other
36,United Arab Emirates,Sovereign country,United Arab Emirates,Arabic, , ,0,0,1,0,0,0,0,Arabic
37,Argentina,Sovereign country,Argentina,Spanish, , ,0,0,0,1,0,0,0,Spanish
38,Armenia,Sovereign country,Armenia,Armenian, , ,0,0,0,0,0,0,0,Other
39,United States of America,Dependency,American Samoa,Samoan,English, ,1,0,0,0,0,0,0,English
40,Antigua and Barbuda,Sovereign country,Antigua and Barbuda,English, , ,1,0,0,0,0,0,0,English
41,Australia,Country,Australia,English, , ,1,0,0,0,0,0,0,English
42,Austria,Sovereign country,Austria,German, , ,0,0,0,0,0,0,0,Other
43,Azerbaijan,Sovereign country,Azerbaijan,Azerbaijani, , ,0,0,0,0,0,0,0,Other
45,Belgium,Sovereign country,Belgium,Dutch,French,German,0,1,0,0,0,0,0,French
46,Benin,Sovereign country,Benin,French, , ,0,1,0,0,0,0,0,French
47,Burkina Faso,Sovereign country,Burkina Faso,French, , ,0,1,0,0,0,0,0,French
48,Bangladesh,Sovereign country,Bangladesh,Bengali, , ,0,0,0,0,0,0,0,Other
117,Mongolia,Sovereign country,Mongolia,Khalkha Mongol, , ,0,0,0,0,0,0,0,Other
44,Burundi,Sovereign country,Burundi,Kirundi,French, ,0,1,0,0,0,0,0,French
49,Jamaica,Sovereign country,Jamaica,English, , ,1,0,0,0,0,0,0,English
50,United Kingdom,Country,Jersey,English, , ,1,0,0,0,0,0,0,English
1,Bulgaria,Sovereign country,Bulgaria,Bulgarian, , ,0,0,0,0,0,0,0,Other
2,Bahrain,Sovereign country,Bahrain,Arabic, , ,0,0,1,0,0,0,0,Other
3,Bosnia and Herzegovina,Sovereign country,Bosnia and Herzegovina,Bosnian,Croatian,Serbian,0,0,0,0,0,0,0,Other
4,France,Dependency,Saint Barthelemy,French, , ,0,1,0,0,0,0,0,French
5,Belarus,Sovereign country,Belarus,Russian,Belarusian, ,0,0,0,0,0,0,1,Russian
6,Belize,Sovereign country,Belize,English, , ,1,0,0,0,0,0,0,English
7,United Kingdom,Dependency,Bermuda,English, , ,1,0,0,0,0,0,0,English
8,Bolivia,Sovereign country,Bolivia,Spanish,Quechua,Indigenous,0,0,0,1,0,0,0,Spanish
9,Brazil,Sovereign country,Brazil,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
10,Barbados,Sovereign country,Barbados,English, , ,1,0,0,0,0,0,0,English
11,Brunei,Sovereign country,Brunei,Malay, , ,0,0,0,0,0,0,0,Other
12,Democratic Republic of the Congo,Sovereign country,Democratic Republic of the Congo,French,Lingala, ,0,1,0,0,0,0,0,French
13,Republic of Congo,Sovereign country,Republic of Congo,French,Lingala, ,0,1,0,0,0,0,0,French
14,New Zealand,Dependency,Cook Islands,English,Cook Island Maori, ,1,0,0,0,0,0,0,English
15,Colombia,Sovereign country,Colombia,Spanish, , ,0,0,0,1,0,0,0,Spanish
16,Comoros,Sovereign country,Comoros,Arabic,French, ,0,1,1,0,0,0,0,French_Arabic
17,Cape Verde,Sovereign country,Cape Verde,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
18,Costa Rica,Sovereign country,Costa Rica,Spanish, , ,0,0,0,1,0,0,0,Spanish
19,Bhutan,Sovereign country,Bhutan,Dzongkha, , ,0,0,0,0,0,0,0,Other
51,Jordan,Sovereign country,Jordan,Arabic, , ,0,0,1,0,0,0,0,Arabic
52,Kazakhstan,Sovereign country,Kazakhstan,Kazakh,Russian, ,0,0,0,0,0,0,1,Russian
53,Kenya,Sovereign country,Kenya,English,Kiswahili, ,1,0,0,0,0,0,0,English
54,Kyrgyzstan,Sovereign country,Kyrgyzstan,Kyrgyz,Russian, ,0,0,0,0,0,0,1,Russian
55,Cambodia,Sovereign country,Cambodia,Khmer, , ,0,0,0,0,0,0,0,Other
56,Kiribati,Sovereign country,Kiribati,English, , ,1,0,0,0,0,0,0,English
57,Cuba,Sovereign country,Cuba,Spanish, , ,0,0,0,1,0,0,0,Spanish
58,United Kingdom,Dependency,Cayman Islands,English, , ,1,0,0,0,0,0,0,English
59,Northern Cyprus,Sovereign country,Northern Cyprus,Turkish, , ,0,0,0,0,0,0,0,Other
60,Cyprus,Sovereign country,Cyprus,Greek,Turkish, ,0,0,0,0,0,0,0,Other
61,Czech Republic,Sovereign country,Czech Republic,Czech, , ,0,0,0,0,0,0,0,Other
62,Germany,Sovereign country,Germany,German, , ,0,0,0,0,0,0,0,Other
63,Djibouti,Sovereign country,Djibouti,French,Arabic, ,0,1,1,0,0,0,0,French_Arabic
64,Dominica,Sovereign country,Dominica,English, , ,1,0,0,0,0,0,0,English
65,Denmark,Country,Denmark,Danish,English, ,1,0,0,0,0,0,0,English
66,Dominican Republic,Sovereign country,Dominican Republic,Spanish, , ,0,0,0,1,0,0,0,Spanish
67,Algeria,Sovereign country,Algeria,Arabic,French, ,0,1,1,0,0,0,0,French_Arabic
68,Ecuador,Sovereign country,Ecuador,Spanish,Quechua,Indigenous,0,0,0,1,0,0,0,Spanish
69,Egypt,Sovereign country,Egypt,Arabic, , ,0,0,1,0,0,0,0,Arabic
70,Eritrea,Sovereign country,Eritrea,Tigrinya,Arabic,English,1,0,1,0,0,0,0,English_Arabic
71,Spain,Sovereign country,Spain,Spanish, , ,0,0,0,1,0,0,0,Spanish
72,Estonia,Sovereign country,Estonia,Estonian, , ,0,0,0,0,0,0,0,Other
73,Ethiopia,Sovereign country,Ethiopia,Amharic,Indigenous, ,0,0,0,0,0,0,0,Other
74,Finland,Country,Finland,Finnish,Swedish, ,0,0,0,0,0,0,0,Other
75,Fiji,Sovereign country,Fiji,English,Fijian, ,1,0,0,0,0,0,0,English
76,United Kingdom,Dependency,Falkland Islands,English, , ,1,0,0,0,0,0,0,English
77,France,Country,France,French, , ,0,1,0,0,0,0,0,French
78,Denmark,Dependency,Faroe Islands,Faroese,Danish, ,0,0,0,0,0,0,0,Other
79,Federated States of Micronesia,Sovereign country,Federated States of Micronesia,English, , ,1,0,0,0,0,0,0,English
80,Gabon,Sovereign country,Gabon,French, , ,0,1,0,0,0,0,0,French
81,United Kingdom,Country,United Kingdom,English, , ,1,0,0,0,0,0,0,English
82,Georgia,Sovereign country,Georgia,Georgian, , ,0,0,0,0,0,0,0,Other
83,United Kingdom,Country,Guernsey,English,French, ,1,1,0,0,0,0,0,English_French
84,Ghana,Sovereign country,Ghana,English, , ,1,0,0,0,0,0,0,English
85,United Kingdom,Dependency,Gibraltar,English, , ,1,0,0,0,0,0,0,English
86,Guinea,Sovereign country,Guinea,French, , ,0,1,0,0,0,0,0,French
